ITEM   	 LEN_P 	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
adventists	   -  	  10	   0		-1	-1	-1	-1	
adventures	   8	  10	   1	   1	-1	-1	-1	-1	
advisement	   -  	  10	   0		-1	-1	-1	-1	
adviser	   7	   7	   2	   1	-1	-1	-1	-1	
advisers	   7	   8	   1	   2	-1	-1	-1	-1	
advisors	   -  	   8	   2		-1	-1	-1	-1	
advocates	   8	   9	   1	   1	-1	-1	-1	-1	
aerials	   5	   7	   1	   2	-1	-1	-1	-1	
aerodromes	   -  	  10	   0		-1	-1	-1	-1	
aerosol	   6	   7	   0	   1	-1	-1	-1	-1	
aerosols	   7	   8	   0	   1	-1	-1	-1	-1	
aerospace	   7	   9	   0	   0	-1	-1	-1	-1	
aesthetics	   8	  10	   0	   1	-1	-1	-1	-1	
affection	   6	   9	   0	   2	 467	-1	 484	-1	
affections	   7	  10	   0	   1	-1	-1	-1	-1	
affiant	   -  	   7	   0		-1	-1	-1	-1	
affliction	   7	  10	   0	   0	-1	 566	-1	 453	
affluence	   6	   9	   0	   0	-1	-1	-1	-1	
afghani	   -  	   7	   0		-1	-1	-1	-1	
afghanis	   -  	   8	   0		-1	-1	-1	-1	
africans	   -  	   8	   0		-1	-1	-1	-1	
afrikaans	   -  	   9	   0		-1	-1	-1	-1	
afterlife	   7	   9	   0	   0	-1	-1	-1	-1	
aftermath	   7	   9	   0	   0	-1	-1	-1	-1	
aftermaths	   -  	  10	   0		-1	-1	-1	-1	
afternoon	   7	   9	   0	   0	 281	-1	 513	-1	
afternoons	   8	  10	   0	   0	-1	-1	-1	-1	
aftertaste	   -  	  10	   0		-1	-1	-1	-1	
agencies	   7	   8	   0	   1	-1	-1	-1	-1	
agency	   6	   6	   0	   2	 553	-1	 366	-1	
agendas	   7	   7	   0	   2	-1	-1	-1	-1	
aggression	   6	  10	   0	   1	-1	-1	-1	-1	
aggressor	   7	   9	   0	   2	 589	-1	 383	-1	
aggressors	   7	  10	   0	   2	-1	-1	-1	-1	
agitprop	   -  	   8	   0		-1	-1	-1	-1	
agonies	   6	   7	   0	   1	-1	-1	-1	-1	
agonist	   -  	   7	   0		-1	-1	-1	-1	
agony	   5	   5	   0	   1	 461	-1	 491	-1	
agora	   -  	   5	   0		-1	-1	-1	-1	
agreement	   8	   9	   0	   1	-1	-1	 367	-1	
agreements	   9	  10	   0	   1	-1	-1	-1	-1	
aguacate	   -  	   8	   0		-1	-1	-1	-1	
ahs	   -  	   3	   3		-1	-1	-1	-1	
aide	   2	   4	   8	  26	 553	-1	 250	-1	
aides	   3	   5	   5	  10	-1	-1	-1	-1	
aileron	   -  	   7	   0		-1	-1	-1	-1	
ailerons	   -  	   8	   0		-1	-1	-1	-1	
airliner	   6	   8	   1	   1	-1	-1	-1	-1	
airliners	   6	   9	   0	   1	-1	-1	-1	-1	
ais	   -  	   3	   9		-1	-1	-1	-1	
aisle	   2	   5	   0	  20	 407	-1	 530	-1	
aisles	   3	   6	   0	  14	-1	-1	-1	-1	
akimbo	   6	   6	   0	   0	-1	-1	-1	-1	
alarmist	   7	   8	   0	   0	-1	-1	-1	-1	
alaskans	   -  	   8	   0		-1	-1	-1	-1	
albumin	   -  	   7	   0		-1	-1	-1	-1	
alchemist	   8	   9	   0	   1	 664	-1	 394	-1	
alchemy	   6	   7	   0	   0	-1	-1	-1	-1	
alcohol	   7	   7	   0	   1	-1	-1	 598	-1	
aldermen	   7	   8	   1	   0	-1	-1	-1	-1	
ale	   2	   3	   9	  33	-1	-1	 526	-1	
alertness	   7	   9	   0	   0	-1	-1	-1	-1	
ales	   3	   4	   7	  23	-1	-1	-1	-1	
algonquin	   -  	   9	   0		-1	-1	-1	-1	
alibi	   5	   5	   0	   1	-1	-1	-1	-1	
alibis	   6	   6	   0	   1	-1	-1	-1	-1	
aliens	   6	   6	   0	   1	-1	-1	-1	-1	
alignment	   8	   9	   0	   2	-1	-1	-1	-1	
alignments	   9	  10	   0	   1	-1	-1	-1	-1	
alkaloid	   -  	   8	   0		-1	-1	-1	-1	
alkaloids	   -  	   9	   0		-1	-1	-1	-1	
allegiance	   7	  10	   0	   0	-1	-1	-1	-1	
allele	   -  	   6	   1		-1	-1	-1	-1	
alleles	   -  	   7	   1		-1	-1	-1	-1	
allergen	   -  	   8	   0		-1	-1	-1	-1	
allergens	   -  	   9	   0		-1	-1	-1	-1	
allergies	   6	   9	   0	   1	-1	-1	-1	-1	
allergist	   -  	   9	   0		-1	-1	-1	-1	
allergists	   -  	  10	   0		-1	-1	-1	-1	
allergy	   5	   7	   0	   1	-1	-1	-1	-1	
alleyway	   5	   8	   0	   1	-1	-1	-1	-1	
alleyways	   6	   9	   0	   1	-1	-1	-1	-1	
alliance	   6	   8	   0	   2	-1	-1	-1	-1	
allotment	   8	   9	   0	   1	 486	-1	 470	-1	
allotments	   9	  10	   0	   1	-1	-1	-1	-1	
allusion	   5	   8	   1	   3	-1	-1	-1	-1	
allusions	   6	   9	   1	   2	-1	-1	-1	-1	
almanac	   7	   7	   0	   0	-1	-1	-1	-1	
alms	   3	   4	   6	   9	-1	-1	-1	-1	
alpaca	   6	   6	   0	   0	-1	-1	-1	-1	
alphabet	   7	   8	   0	   0	 244	-1	 499	-1	
altarpiece	   -  	  10	   0		-1	-1	-1	-1	
altitudes	   9	   9	   2	   3	-1	-1	-1	-1	
alumna	   -  	   6	   1		-1	-1	-1	-1	
alumnae	   -  	   7	   0		-1	-1	-1	-1	
alumnus	   -  	   7	   0		-1	-1	-1	-1	
amalgam	   7	   7	   0	   0	-1	-1	-1	-1	
amaranth	   -  	   8	   0		-1	-1	-1	-1	
amateurs	   6	   8	   0	   1	-1	-1	-1	-1	
amazement	   8	   9	   0	   0	-1	 414	 456	-1	
amazons	   7	   7	   0	   1	-1	-1	-1	-1	
ambergris	   -  	   9	   0		-1	-1	-1	-1	
ambiance	   -  	   8	   1		-1	-1	-1	-1	
ambience	   6	   8	   0	   1	-1	 631	-1	 254	
ambition	   6	   8	   0	   1	 483	-1	 346	-1	
ambitions	   7	   9	   1	   1	-1	-1	-1	-1	
ambulance	   9	   9	   0	   0	-1	-1	 627	-1	
ambushes	   7	   8	   1	   1	-1	-1	-1	-1	
amendment	   9	   9	   0	   1	 597	-1	 305	-1	
amendments	  10	  10	   0	   1	-1	-1	-1	-1	
amicus	   -  	   6	   0		-1	-1	-1	-1	
amino	   -  	   5	   0		-1	-1	-1	-1	
ammeter	   -  	   7	   0		-1	-1	-1	-1	
ammonia	   6	   7	   0	   0	-1	-1	-1	-1	
amnesia	   7	   7	   0	   0	-1	-1	-1	-1	
amnesty	   7	   7	   0	   0	-1	-1	-1	-1	
amp	   3	   3	   1	   6	-1	-1	-1	-1	
amperage	   -  	   8	   0		-1	-1	-1	-1	
ampersand	   -  	   9	   0		-1	-1	-1	-1	
amphora	   -  	   7	   0		-1	-1	-1	-1	
amplitude	   9	   9	   0	   0	 650	-1	 389	-1	
amputee	   -  	   7	   0		-1	-1	-1	-1	
amputees	   -  	   8	   0		-1	-1	-1	-1	
amulet	   7	   6	   0	   1	-1	-1	-1	-1	
amulets	   8	   7	   0	   1	-1	-1	-1	-1	
amusement	   9	   9	   0	   1	-1	 357	-1	 533	
amusements	  10	  10	   0	   1	-1	-1	-1	-1	
anagram	   -  	   7	   0		-1	-1	-1	-1	
analyst	   7	   7	   1	   2	-1	-1	-1	-1	
analysts	   8	   8	   2	   2	-1	-1	-1	-1	
anarchist	   7	   9	   1	   2	-1	-1	-1	-1	
anarchists	   8	  10	   0	   2	-1	-1	-1	-1	
anarchy	   5	   7	   0	   0	-1	 596	-1	 387	
ancestor	   8	   8	   0	   1	-1	-1	-1	-1	
ancestors	   8	   9	   0	   1	-1	-1	-1	-1	
ancestry	   8	   8	   0	   0	-1	-1	-1	-1	
anchorage	   7	   9	   0	   2	-1	-1	-1	-1	
anchormen	   -  	   9	   0		-1	-1	-1	-1	
anchovies	   7	   9	   0	   1	-1	-1	-1	-1	
anchovy	   6	   7	   0	   1	-1	-1	-1	-1	
andiron	   -  	   7	   0		-1	-1	-1	-1	
anecdote	   7	   8	   0	   1	 619	-1	 357	-1	
anecdotes	   8	   9	   0	   1	-1	-1	-1	-1	
anemone	   7	   7	   0	   1	-1	-1	-1	-1	
angelfish	   -  	   9	   0		-1	-1	-1	-1	
anglophile	   -  	  10	   0		-1	-1	-1	-1	
angora	   6	   6	   0	   0	-1	-1	-1	-1	
angst	   4	   5	   0	   0	-1	-1	-1	-1	
anhydride	   -  	   9	   0		-1	-1	-1	-1	
animists	   -  	   8	   0		-1	-1	-1	-1	
animus	   -  	   6	   0		-1	-1	-1	-1	
anisette	   -  	   8	   0		-1	-1	-1	-1	
ankh	   -  	   4	   0		-1	-1	-1	-1	
anklebone	   -  	   9	   0		-1	-1	-1	-1	
announcers	   -  	  10	   0		-1	-1	-1	-1	
annoyance	   6	   9	   0	   0	-1	 399	-1	 469	
annuals	   6	   7	   0	   2	-1	-1	-1	-1	
annulment	   -  	   9	   0		-1	-1	-1	-1	
antacids	   -  	   8	   0		-1	-1	-1	-1	
anteater	   -  	   8	   0		-1	-1	-1	-1	
antelope	   7	   8	   0	   1	-1	 446	-1	 596	
antenna	   6	   7	   0	   2	-1	-1	-1	-1	
antennae	   6	   8	   1	   1	-1	-1	-1	-1	
antennas	   7	   8	   1	   1	-1	-1	-1	-1	
anthracite	   -  	  10	   0		-1	-1	-1	-1	
anticline	   -  	   9	   0		-1	-1	-1	-1	
antidote	   7	   8	   0	   0	-1	-1	-1	-1	
antigen	   -  	   7	   0		-1	-1	-1	-1	
antigens	   -  	   8	   0		-1	-1	-1	-1	
ants	   4	   4	   4	   3	-1	-1	-1	-1	
anytime	   -  	   7	   0		-1	-1	-1	-1	
apaches	   6	   7	   0	   0	-1	-1	-1	-1	
apartheid	   7	   9	   0	   0	-1	-1	-1	-1	
apartment	   8	   9	   0	   1	 522	-1	 556	-1	
apartments	   9	  10	   0	   1	-1	-1	-1	-1	
apathy	   5	   6	   0	   0	-1	-1	 376	-1	
apatite	   -  	   7	   0		-1	-1	-1	-1	
aperture	   7	   8	   0	   1	 639	-1	 424	-1	
aphasia	   6	   7	   0	   0	-1	-1	-1	-1	
apnea	   -  	   5	   0		-1	-1	-1	-1	
apogee	   5	   6	   0	   0	-1	-1	-1	-1	
apostate	   7	   8	   0	   0	-1	-1	-1	-1	
apostles	   6	   8	   0	   1	-1	-1	-1	-1	
apparel	   6	   7	   0	   0	-1	-1	-1	-1	
appearance	   7	  10	   0	   0	-1	 397	 425	 442	
appendage	   7	   9	   0	   1	-1	-1	-1	-1	
appendix	   8	   8	   0	   0	-1	-1	-1	-1	
appetite	   6	   8	   0	   1	-1	-1	-1	-1	
appetites	   7	   9	   0	   1	-1	-1	-1	-1	
appliance	   7	   9	   0	   1	-1	 509	 554	-1	
applicant	   8	   9	   0	   1	-1	-1	-1	-1	
applicants	   9	  10	   0	   1	-1	-1	-1	-1	
appointee	   -  	   9	   1		-1	-1	-1	-1	
appointees	   7	  10	   0	   0	-1	-1	-1	-1	
appraisal	   6	   9	   0	   0	-1	-1	-1	-1	
appraisals	   -  	  10	   0		-1	-1	-1	-1	
appraiser	   -  	   9	   1		-1	-1	-1	-1	
appraisers	   -  	  10	   0		-1	-1	-1	-1	
apprentice	   8	  10	   0	   0	-1	-1	-1	-1	
approval	   6	   8	   0	   0	 469	-1	 375	-1	
approvals	   -  	   9	   0		-1	-1	-1	-1	
apricots	   8	   8	   0	   1	-1	-1	-1	-1	
aptitude	   8	   8	   2	   3	-1	-1	 310	-1	
aptitudes	   9	   9	   2	   3	-1	-1	-1	-1	
aqualung	   -  	   8	   0		-1	-1	-1	-1	
aqueducts	   -  	   9	   0		-1	-1	-1	-1	
aquifer	   -  	   7	   0		-1	-1	-1	-1	
arbiters	   6	   8	   0	   1	-1	-1	-1	-1	
arbitrage	   -  	   9	   0		-1	-1	-1	-1	
arbs	   -  	   4	   4		-1	-1	-1	-1	
arcana	   -  	   6	   1		-1	-1	-1	-1	
arcanum	   -  	   7	   0		-1	-1	-1	-1	
archery	   5	   7	   1	   2	 433	-1	 550	-1	
archetypes	   7	  10	   0	   1	-1	-1	-1	-1	
architects	   8	  10	   0	   1	-1	-1	-1	-1	
architrave	   -  	  10	   0		-1	-1	-1	-1	
archivist	   7	   9	   0	   0	-1	-1	-1	-1	
archivists	   -  	  10	   0		-1	-1	-1	-1	
arcturus	   -  	   8	   0		-1	-1	-1	-1	
area	   3	   4	   1	   4	 392	-1	 394	-1	
areas	   4	   5	   2	   4	-1	-1	-1	-1	
argonaut	   -  	   8	   0		-1	-1	-1	-1	
argument	   8	   8	   0	   1	-1	-1	-1	-1	
arguments	   9	   9	   0	   1	-1	-1	-1	-1	
aria	   3	   4	   2	   3	-1	-1	-1	-1	
armada	   5	   6	   0	   0	-1	-1	-1	-1	
armaments	   8	   9	   0	   1	-1	-1	-1	-1	
aroma	   5	   5	   0	   1	-1	-1	-1	-1	
aromas	   6	   6	   0	   1	-1	-1	-1	-1	
arousal	   -  	   7	   0		-1	-1	-1	-1	
arrival	   5	   7	   0	   1	 394	-1	 419	-1	
arrivals	   6	   8	   0	   1	-1	-1	-1	-1	
arrogance	   7	   9	   0	   1	-1	-1	-1	-1	
arrowheads	   -  	  10	   0		-1	-1	-1	-1	
arrowroot	   -  	   9	   0		-1	-1	-1	-1	
arse	   2	   4	   1	  14	-1	-1	-1	-1	
arsenals	   6	   8	   0	   1	-1	-1	-1	-1	
arsenic	   6	   7	   0	   0	-1	-1	-1	-1	
arsonists	   -  	   9	   0		-1	-1	-1	-1	
arteries	   6	   8	   0	   1	-1	-1	-1	-1	
artery	   5	   6	   0	   3	-1	-1	-1	-1	
arthritis	   7	   9	   1	   0	-1	-1	-1	-1	
arthropod	   -  	   9	   0		-1	-1	-1	-1	
artichokes	   7	  10	   0	   1	-1	-1	-1	-1	
article	   5	   7	   0	   3	 406	 404	 421	 428	
articles	   6	   8	   1	   3	-1	-1	-1	-1	
artifacts	   8	   9	   0	   1	-1	-1	-1	-1	
artisan	   6	   7	   0	   2	-1	-1	-1	-1	
artisans	   7	   8	   0	   2	-1	-1	-1	-1	
artistry	   7	   8	   0	   0	-1	-1	-1	-1	
arts	   3	   4	   5	  15	-1	-1	-1	-1	
asbestos	   8	   8	   0	   0	 578	-1	 513	-1	
ascendant	   8	   9	   0	   1	-1	-1	-1	-1	
asp	   -  	   3	   4		-1	-1	-1	-1	
aspersion	   -  	   9	   0		-1	-1	-1	-1	
aspersions	   7	  10	   0	   1	-1	-1	-1	-1	
aspirants	  10	   9	   0	   0	-1	-1	-1	-1	
assailant	   7	   9	   0	   1	-1	-1	-1	-1	
assailants	   8	  10	   0	   1	-1	-1	-1	-1	
assassin	   6	   8	   0	   1	-1	-1	-1	-1	
assassins	   7	   9	   0	   1	-1	-1	-1	-1	
assemblage	   8	  10	   0	   3	-1	-1	-1	-1	
assemblers	   -  	  10	   0		-1	-1	-1	-1	
assemblies	   8	  10	   0	   3	-1	-1	-1	-1	
assembly	   7	   8	   1	   3	-1	-1	-1	-1	
assertion	   5	   9	   0	   2	-1	-1	-1	-1	
assertions	   6	  10	   0	   2	-1	-1	-1	-1	
assessment	   8	  10	   0	   0	-1	-1	-1	-1	
assessor	   6	   8	   0	   1	-1	-1	-1	-1	
assessors	   6	   9	   0	   2	-1	-1	-1	-1	
assignment	   8	  10	   0	   1	-1	-1	-1	-1	
assistance	   8	  10	   0	   2	 464	-1	 348	-1	
assistants	   9	  10	   0	   2	-1	-1	-1	-1	
assortment	   8	  10	   0	   0	 408	-1	 367	-1	
assumption	   7	  10	   0	   0	-1	-1	 257	-1	
assurance	   7	   9	   0	   0	-1	-1	-1	-1	
asterisk	   -  	   8	   0		-1	-1	-1	-1	
asteroids	   8	   9	   0	   1	-1	-1	-1	-1	
asthmatics	   -  	  10	   0		-1	-1	-1	-1	
astrodome	   -  	   9	   0		-1	-1	-1	-1	
astuteness	   -  	  10	   0		-1	-1	-1	-1	
atheism	   7	   7	   1	   0	-1	 602	-1	 253	
atheists	   7	   8	   0	   1	-1	-1	-1	-1	
atheneum	   -  	   8	   0		-1	-1	-1	-1	
athletics	   8	   9	   0	   1	-1	-1	 551	-1	
atlases	   7	   7	   0	   0	-1	-1	-1	-1	
atm	   -  	   3	   3		-1	-1	-1	-1	
atmosphere	   8	  10	   0	   0	 517	-1	 444	-1	
atonement	   8	   9	   0	   1	-1	-1	-1	-1	
atria	   -  	   5	   0		-1	-1	-1	-1	
atrium	   -  	   6	   0		-1	-1	-1	-1	
atrophy	   6	   7	   0	   1	-1	-1	-1	-1	
attache	   5	   7	   0	   1	-1	-1	-1	-1	
attachment	   8	  10	   0	   0	-1	-1	-1	-1	
attackers	   6	   9	   0	   1	-1	-1	-1	-1	
attainment	   8	  10	   0	   1	-1	-1	-1	-1	
attendance	   8	  10	   0	   2	-1	 353	-1	 428	
attendants	   9	  10	   0	   2	-1	-1	-1	-1	
attendee	   -  	   8	   1		-1	-1	-1	-1	
attendees	   -  	   9	   0		-1	-1	-1	-1	
attention	   6	   9	   0	   2	-1	-1	-1	-1	
attentions	   7	  10	   0	   1	-1	-1	-1	-1	
attitudes	   8	   9	   2	   4	-1	-1	-1	-1	
attorneys	   6	   9	   0	   1	-1	-1	-1	-1	
attraction	   7	  10	   0	   0	-1	-1	-1	-1	
attrition	   6	   9	   0	   1	-1	-1	-1	-1	
audibles	   -  	   8	   0		-1	-1	-1	-1	
auditor	   6	   7	   0	   2	-1	-1	-1	-1	
auditors	   6	   8	   1	   2	-1	-1	-1	-1	
aunt	   3	   4	   4	   5	 233	-1	 567	-1	
aunts	   4	   5	   2	   4	-1	-1	-1	-1	
aureole	   5	   7	   0	   0	-1	-1	-1	-1	
auspices	   7	   8	   0	   0	-1	-1	-1	-1	
austrians	   -  	   9	   0		-1	-1	-1	-1	
authorship	   6	  10	   0	   0	-1	-1	-1	-1	
autobahn	   6	   8	   0	   0	-1	-1	-1	-1	
autoclave	   -  	   9	   0		-1	-1	-1	-1	
autocrat	   7	   8	   0	   0	-1	-1	-1	-1	
autoimmune	   -  	  10	   0		-1	-1	-1	-1	
autopsies	   -  	   9	   0		-1	-1	-1	-1	
autopsy	   6	   7	   0	   0	-1	-1	-1	-1	
avalanche	   7	   9	   0	   0	-1	-1	 596	-1	
avatar	   6	   6	   0	   0	-1	-1	-1	-1	
avatars	   -  	   7	   0		-1	-1	-1	-1	
avenue	   6	   6	   1	   1	 372	-1	 564	-1	
avenues	   7	   7	   0	   1	-1	-1	-1	-1	
aversion	   5	   8	   0	   2	-1	-1	-1	-1	
avoidance	   7	   9	   0	   0	-1	-1	-1	-1	
awareness	   6	   9	   0	   0	-1	 448	-1	 355	
awfulness	   7	   9	   0	   0	-1	-1	-1	-1	
axiom	   5	   5	   0	   1	-1	-1	 311	-1	
axioms	   6	   6	   0	   1	-1	-1	-1	-1	
ayes	   -  	   4	   7		-1	-1	-1	-1	
azalea	   -  	   6	   0		-1	-1	-1	-1	
azaleas	   7	   7	   0	   0	-1	-1	-1	-1	
babes	   4	   5	   4	   6	-1	-1	-1	-1	
babushka	   -  	   8	   0		-1	-1	-1	-1	
babushkas	   -  	   9	   0		-1	-1	-1	-1	
babyhood	   7	   8	   0	   0	-1	-1	-1	-1	
baccarat	   -  	   8	   0		-1	-1	-1	-1	
bacillus	   7	   8	   0	   0	-1	-1	-1	-1	
backgammon	   8	  10	   0	   0	-1	-1	-1	-1	
backpacker	   -  	  10	   0		-1	-1	-1	-1	
backpedals	   -  	  10	   0		-1	-1	-1	-1	
backwater	   8	   9	   0	   1	-1	-1	-1	-1	
backwaters	   8	  10	   0	   1	-1	-1	-1	-1	
badminton	   9	   9	   0	   0	-1	-1	-1	-1	
baedeker	   -  	   8	   0		-1	-1	-1	-1	
bagpiper	   -  	   8	   1		-1	-1	-1	-1	
baile	   -  	   5	   1		-1	-1	-1	-1	
bailiwick	   -  	   9	   0		-1	-1	-1	-1	
bakeries	   7	   8	   0	   1	-1	-1	-1	-1	
balancer	   -  	   8	   2		-1	-1	-1	-1	
balconies	   8	   9	   0	   1	-1	-1	-1	-1	
balcony	   7	   7	   0	   1	-1	-1	-1	-1	
bales	   4	   5	  12	  24	-1	-1	-1	-1	
balks	   -  	   5	   7		-1	-1	-1	-1	
balloonist	   -  	  10	   0		-1	-1	-1	-1	
balloting	   7	   9	   0	   0	-1	-1	-1	-1	
ballplayer	   -  	  10	   0		-1	-1	-1	-1	
ballyhoo	   -  	   8	   0		-1	-1	-1	-1	
balms	   -  	   5	   5		-1	-1	-1	-1	
bambinos	   -  	   8	   0		-1	-1	-1	-1	
bananas	   7	   7	   0	   1	-1	-1	-1	-1	
bandages	   8	   8	   1	   1	-1	-1	-1	-1	
bandana	   -  	   7	   0		-1	-1	-1	-1	
bandanas	   -  	   8	   0		-1	-1	-1	-1	
bandicoot	   -  	   9	   0		-1	-1	-1	-1	
banditry	   -  	   8	   0		-1	-1	-1	-1	
bandleader	   -  	  10	   0		-1	-1	-1	-1	
bandolier	   -  	   9	   0		-1	-1	-1	-1	
bandoliers	   -  	  10	   0		-1	-1	-1	-1	
bandwagon	   9	   9	   0	   0	-1	-1	-1	-1	
banishment	   9	  10	   0	   0	-1	-1	-1	-1	
bankruptcy	  10	  10	   0	   0	-1	-1	-1	-1	
bans	   4	   4	  18	  15	-1	-1	-1	-1	
baptism	   8	   7	   0	   0	-1	-1	-1	-1	
baptisms	   -  	   8	   0		-1	-1	-1	-1	
barbeques	   -  	   9	   1		-1	-1	-1	-1	
barbs	   4	   5	   2	  10	-1	-1	-1	-1	
bargainer	   -  	   9	   1		-1	-1	-1	-1	
baritone	   7	   8	   0	   0	-1	-1	-1	-1	
baritones	   -  	   9	   0		-1	-1	-1	-1	
barium	   -  	   6	   0		-1	-1	-1	-1	
barnacle	   -  	   8	   0		-1	-1	-1	-1	
barnacles	   7	   9	   0	   0	-1	-1	-1	-1	
barns	   4	   5	   7	  10	-1	-1	-1	-1	
baronet	   7	   7	   1	   1	-1	-1	-1	-1	
baronets	   -  	   8	   2		-1	-1	-1	-1	
barrages	   7	   8	   0	   0	-1	-1	-1	-1	
barrier	   5	   7	   2	   3	-1	-1	-1	-1	
barriers	   5	   8	   2	   4	-1	-1	-1	-1	
barrister	   8	   9	   0	   2	-1	 597	-1	 587	
barristers	   8	  10	   0	   2	-1	-1	-1	-1	
